SITE_NAME,ID,REPLICATE,DEPTH_CM,DEPTH_RANGE,-15_KUNSAT,-10_KUNSAT,-5_KUNSAT
Greenbelt Recreation Center,GB,c,42,42-71,0.03,0.03,0.76
Greenbelt Recreation Center,GB,c,71,71-91,0.02,0.05,0.46
Greenbelt Recreation Center,GB,c,91,91-130,1.5,0.57,1.38
Van Cortlandt,VC,a,0,0-6,0.44,0.45,1.79
Van Cortlandt,VC,a,6,6-16,0.21,0.13,0.2
Van Cortlandt,VC,a,16,16-28,0.38,0.5,0.64
Van Cortlandt,VC,a,28,28-54,0.79,0.77,1.92
Van Cortlandt,VC,a,54,54-67,0.62,0.73,1.68
Van Cortlandt,VC,a,67,67-102,0.37,0.61,0.91
Van Cortlandt,VC,b,0,0-6,0.38,0.71,2.24
Van Cortlandt,VC,b,6,6-16,1.45,1.42,2
Van Cortlandt,VC,b,16,16-28,0.43,0.5,0.4
Van Cortlandt,VC,b,28,28-54,0.64,1.31,1.94
Van Cortlandt,VC,b,54,54-67,0.41,0.57,0.88
Van Cortlandt,VC,b,67,67-102,0.75,0.32,0.92
Van Cortlandt,VC,c,0,0-6,0.31,0.36,0.68
Van Cortlandt,VC,c,6,6-16,0.25,0.8,1.24
Van Cortlandt,VC,c,16,16-28,0.06,0.6,0.68
Van Cortlandt,VC,c,28,28-54,1.2,1.58,2.57
Van Cortlandt,VC,c,54,54-67,0.04,0.15,0.44
Van Cortlandt,VC,c,67,67-102,0.05,0.06,0.08
Soundview Park,SV,a,0,0-17,0.34,0.68,1.37
Soundview Park,SV,a,17,17-50,0.13,0.43,0.95
Soundview Park,SV,a,50,50-67,0.16,0.35,1.61
Soundview Park,SV,a,67,67-94,0.09,0.08,0.64
Soundview Park,SV,a,94,94-104,1,1.17,0.47
Soundview Park,SV,b,0,0-17,0.06,0.1,0.22
Soundview Park,SV,b,17,17-50,0.41,0.48,0.83
Soundview Park,SV,b,50,50-67,0.07,0.08,0.09
Soundview Park,SV,b,67,67-94,0.06,0.03,0.16
Soundview Park,SV,b,94,94-104,0.02,0.03,0.02
Soundview Park,SV,c,0,0-17,0.02,0.03,0.02
Soundview Park,SV,c,17,17-50,0.33,0.63,0.55
Soundview Park,SV,c,50,50-67,0.04,0.06,0.27
Soundview Park,SV,c,67,67-94,0.2,0.52,0.44
Soundview Park,SV,c,94,94-104,0.02,0.02,0.17
Corporate Woods,CW,a,0,0-12,0.82,1.03,2.24
Corporate Woods,CW,a,12,12-19,1.58,1.96,3.4
Corporate Woods,CW,a,19,19-33,1.86,1.36,2.28
Corporate Woods,CW,a,33,33-101,0.16,0.21,0.32
Corporate Woods,CW,b,0,0-12,0.05,0.07,0.19
Corporate Woods,CW,b,12,12-19,0.01,0.02,0.06
Corporate Woods,CW,b,19,19-33,0.12,0.1,0.08
Corporate Woods,CW,b,33,33-101,0.13,0.31,0.74
Corporate Woods,CW,c,0,0-12,0.01,0.04,0.4
Corporate Woods,CW,c,12,12-19,0.29,0.48,1.05
Corporate Woods,CW,c,19,19-33,0.21,0.17,0.12
Corporate Woods,CW,c,33,33-101,0.01,0.17,0.16
Flushing Meadows,FM,a,0,0-13,0.31,1.35,2.26
